,person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
0,22.0,0,3.0,71948.0,0,8000.0,16.02,0.12,3.0,561,0,1,0,0,0,1,0,0,0,0,1,0
1,21.0,0,0.0,12282.0,0,1000.0,11.14,0.08,2.0,504,1,0,0,0,1,0,0,1,0,0,0,0
2,25.0,0,0.0,12438.0,3,5500.0,12.87,0.12,3.0,635,0,1,1,0,0,0,0,0,0,1,0,0
3,23.0,0,2.0,79753.0,0,8000.0,15.23,0.12,2.0,675,0,1,0,0,0,1,0,0,0,1,0,0
4,24.0,1,3.0,66135.0,1,8000.0,14.27,0.12,4.0,586,0,1,0,0,0,1,0,0,0,1,0,0
5,21.0,0,0.0,12951.0,0,2500.0,7.14,0.19,2.0,532,0,1,0,0,1,0,0,0,0,0,0,1
6,26.0,0,2.0,93471.0,1,8000.0,12.42,0.37,3.0,701,0,1,0,0,0,1,0,1,0,0,0,0
7,24.0,0,0.0,95550.0,5,8000.0,11.11,0.37,4.0,585,0,1,0,0,0,1,0,0,0,1,0,0
8,24.0,0,1.0,100684.0,3,8000.0,8.9,0.35,2.0,544,0,1,0,0,0,1,0,0,0,0,1,0
9,21.0,0,0.0,12739.0,0,1600.0,14.74,0.13,3.0,640,0,1,0,0,1,0,0,0,0,0,0,1
10,22.0,0,0.0,102985.0,0,8000.0,10.37,0.34,4.0,621,0,1,0,0,0,1,0,0,0,0,0,1
11,21.0,0,1.0,13113.0,0,4500.0,8.63,0.34,2.0,651,0,1,0,0,1,0,0,0,1,0,0,0
12,23.0,1,2.0,114860.0,3,8000.0,7.9,0.3,2.0,573,0,1,0,0,0,1,0,0,0,0,0,1
13,26.0,1,3.0,130713.0,0,8000.0,18.39,0.27,4.0,708,0,1,0,0,0,1,0,1,0,0,0,0
14,23.0,0,1.0,138998.0,0,8000.0,7.9,0.25,4.0,583,0,0,0,0,0,1,0,1,0,0,0,0
15,23.0,0,3.0,67048.0,5,8000.0,10.65,0.05,3.0,670,1,0,1,0,0,0,1,0,0,0,0,0
16,23.0,1,2.0,144943.0,0,8000.0,7.9,0.24,4.0,663,0,0,0,0,0,1,0,1,0,0,0,0
17,23.0,0,0.0,111369.0,0,8000.0,11.01,0.31,4.0,694,0,1,0,0,0,1,0,0,0,1,0,0
18,23.0,1,2.0,136628.0,0,8000.0,18.25,0.26,4.0,709,0,1,0,0,0,1,1,0,0,0,0,0
19,24.0,0,3.0,14283.0,1,1750.0,10.99,0.12,2.0,679,0,1,1,0,0,0,0,1,0,0,0,0
20,25.0,1,2.0,195718.0,0,8000.0,7.49,0.18,4.0,684,1,0,0,0,0,1,0,0,0,0,0,1
21,25.0,1,0.0,165792.0,4,8000.0,16.77,0.21,2.0,662,0,0,0,0,0,1,0,0,0,0,1,0
22,22.0,0,3.0,79255.0,0,8000.0,17.58,0.12,4.0,691,0,1,0,0,0,1,0,1,0,0,0,0
23,24.0,0,2.0,13866.0,0,1500.0,7.29,0.11,3.0,600,1,0,0,0,1,0,0,0,0,0,1,0
24,22.0,1,2.0,97420.0,1,8000.0,14.54,0.35,4.0,691,0,1,0,0,0,1,0,0,0,0,1,0
25,24.0,0,0.0,82443.0,0,8000.0,12.68,0.4,3.0,654,0,1,0,0,0,1,0,0,1,0,0,0
26,21.0,0,1.0,14288.0,0,4575.0,17.74,0.32,3.0,626,0,1,1,0,0,0,0,0,0,0,0,1
27,23.0,1,0.0,14293.0,0,1400.0,9.32,0.1,3.0,607,0,0,0,0,1,0,0,0,0,0,1,0
28,24.0,0,2.0,79054.0,1,8000.0,9.99,0.12,3.0,700,0,1,0,0,0,1,0,0,1,0,0,0
29,21.0,0,2.0,14988.0,0,4000.0,12.84,0.27,2.0,553,0,1,0,1,0,0,0,1,0,0,0,0
30,21.0,1,0.0,14858.0,0,2000.0,11.12,0.13,3.0,589,0,1,0,0,1,0,0,0,0,1,0,0
31,25.0,1,2.0,144855.0,1,8000.0,6.62,0.22,2.0,586,1,0,0,0,0,1,0,0,0,0,0,1
32,26.0,1,2.0,114645.0,2,8000.0,14.17,0.27,3.0,681,0,1,0,0,0,1,0,0,1,0,0,0
